cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Cécilia,Eliacin,Précédé,lilas,,,,,,,,,,,,,,,,,,,
1,EYSSETTE,Musette,maison Eyssette,Eyssette,Fouette,,,,,,,,,,,,,,,,,,
2,Bamban,Cuba,Lombards,Bachagas,Bandit,bah,,,,,,,,,,,,,,,,,
3,Pardon,Parthénon,Chardon,,,,,,,,,,,,,,,,,,,,
4,Grand-Cercle,Petit-Cercle,Grand-Orient,,,,,,,,,,,,,,,,,,,,
5,Place !,place des Terreaux,Ecce,place d'Armes,,,,,,,,,,,,,,,,,,,
6,Sonne,tonnelle,songeuse,Crusoé,Ancienne maison,Vienne,,,,,,,,,,,,,,,,,
7,Océan,Nice,Géniès,Daniel,Petit Daniel,V,,,,,,,,,,,,,,,,,
8,Théâtre-Français,Comédie-Française,Théâtre Français,Daçaratha,,,,,,,,,,,,,,,,,,,
9,la Cévenole,Cévenol,Cévennes,Cunocépa,Cévenole,,,,,,,,,,,,,,,,,,
10,Angleterre,Nanterre,Rana-Volo,rue Lanterne,,,,,,,,,,,,,,,,,,,
11,Montez,mont-de-piété,Montparnasse,Embrasse,Montmartre,Saumon,boulevard Montparnasse,théâtre Montparnasse,,,,,,,,,,,,,,,
12,l'Alsacien,Alsace,Alsacien,Algérien,,,,,,,,,,,,,,,,,,,
13,Muguet,Muguets,bésigue,Languedoc,,,,,,,,,,,,,,,,,,,
14,Carmélites,carmélites,Israélite,,,,,,,,,,,,,,,,,,,,
15,Gymnase,Anastasie,Anastagille,mastoïdes,,,,,,,,,,,,,,,,,,,
16,beurrées,bourrée,Luxembourg,Tribou,sabré,,,,,,,,,,,,,,,,,,
17,Tiens,Parisiens,Palais-Mazarin,Parisien,Paris,,,,,,,,,,,,,,,,,,
18,Pruneaux,Beaucaire,Beaux,Eux,bordeaux,Châteauneuf-du-Pape,Langlumeau,Sceaux,ben,,,,,,,,,,,,,,
19,Souwaroff,Fougeroux,Espéron,Broum-Broum,Rome,Pérou,Soubeyrol,râpé,,,,,,,,,,,,,,,
20,Université,Vive,VI,,,,,,,,,,,,,,,,,,,,
21,Regardez,Nègre,Attends,Vendredi,Inde,Rendez,Comprenez,Cadet,Providence,,,,,,,,,,,,,,
22,du Nord,Borel,Sortez,Dormez,Port-au-Prince,Emporte,Alfort,trompe-la-mort,Or,Nécrophores,victoria,,,,,,,,,,,,
