cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34
-1,orient,& K.C.,Bastille,Blackberry,quad-,"nonsense,—ideas",Henan,protégée,Louisa,Angeles,shifting*stream,Paris,M.D.,Mill,Cologne,moscow,H. SMITH,Cretan,morocco,Leeds,seaworld,Golconda,Kuzzicnasit,PLAIN STATEMENT,Italy,Anuincrox,Europe,BRAMBLETYE Scope Series,Kidderminster,Aghleigh,"kindness,—regiment j'ai",MR,Howley,joaquin,Tn
0,JT,jt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,XXII,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,St. Mary's,St. Mary’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Russia,Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nurse,may’t,Lodge,seif,Saxony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DUBLIN,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KNOW-,Loxpow,Foxglove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,what~,MARGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sont,Sophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Africa,Tis Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,America,AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huxley,Huxley-lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bering,Bering’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,London Madeira,Madeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Prentice,Arctic,Warwick,Nice,WARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,france,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GRANBY,Hicnranpens,Fimrantox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"by,—I","lady,—I","you,—I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Rebecca,Becky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LAYS,premises,La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,butte,Teletext,Gazette,Charlotte,Hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Samaritan,Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Venus,BENEVOLENCE,Providence,Devenevx,never.should,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Brotherton,Southern Reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fraser,Findens,denver,observe=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kingdom,the Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,the ivory brow,the Emerald Isle,the Holy Virgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Germany,Manupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Canterbury,Burbage,Babur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Deep-Valley,"Deep
Valley",VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Domenichino,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Deep Valley
Mill",Deep Valley,Deep Valley Mill,"Deep Valley

su",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,the Deep Valley,THE DEEP VALLEY,the Deep Valley «,the Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Rheingau,Booming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,refusing.a,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,California,cali,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Crompton,Boston,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,earth,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,East,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Straits,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,most.le-,Ma’moselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Dowling,Helvellyn,WELLINGTON,Tugswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Brockley,Crockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,palo,park-palin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,al,Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,woodbine,Woodcock,hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Spain,spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tilbury Fort,North,fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,maine,ain’t,n’t,Tisn’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Drakes,aires,Wakefield,Esq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Oxford,Rockford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Milford Park,Milford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,inn,in'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Turpin,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Lancashire,York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Derbyshire,"Derby-
shire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Westmorland,westport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Highland,Highlandloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Scotch,Scotland,SCOTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,me!—and,kind'and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Flanders,Poland,IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,England,ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
