cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Bering’s,Bering,Booming,observe=,refusing.a,Rheingau,,,,,,
1,Madeira,London Madeira,Sophy,quad-,seif,,,,,,,
2,france,Providence,Fraser,Fimrantox,France,Hicnranpens,GRANBY,,,,,
3,Roma,Germany,Crompton,Europe,,,,,,,,
4,Great Britain,Britain,H. SMITH,PLAIN STATEMENT,Samaritan,,,,,,,
5,Spain,maine,spain,park-palin,Paris,inn,,,,,,
6,n’t,Tisn’t,ain’t,may’t,,,,,,,,
7,premises,orient,Prentice,WARREN,Nice,Arctic,,,,,,
8,Turpin,Turkey,M.D.,Tn,,,,,,,,
9,sont,LONDON,London,Golconda,Saxony,,,,,,,
10,Crockley,Brockley,morocco,,,,,,,,,
11,Italy,al,cali,Royal,palo,Halifax,,,,,,
12,Boston,shifting*stream,East,Austria,ST,Bastille,Kidderminster,most.le-,Straits,,,
13,Dublin,XXII,DUBLIN,,,,,,,,,
14,LAYS,La,Singular,Blackberry,,,,,,,,
15,woodbine,what~,hardwood,Woodcock,Charlotte,,,,,,,
16,Huxley-lane,Huxley,Howley,,,,,,,,,
17,moscow,Scotch,Scotland,SCOTLAND,,,,,,,,
18,never.should,BENEVOLENCE,Devenevx,Venus,denver,,,,,,,
19,Africa,BRAMBLETYE Scope Series,America,AMERICA,Tis Africa,Mexico,,,,,,
20,North,Earth,seaworld,fort,Tilbury Fort,California,westport,earth,,,,
21,the ivory brow,Southern Reg,Brotherton,protégée,,,,,,,,
22,"you,—I","lady,—I","by,—I","nonsense,—ideas",,,,,,,,
23,Manupa,Cretan,Anuincrox,joaquin,,,,,,,,
24,Milford Park,Mill,Rockford,Milford,Oxford,Bradford,,,,,,
25,Kingdom,the Holy Virgin,the Kingdom,the Emerald Isle,& K.C.,,,,,,,
26,Highlandloch,MR,Highland,Aghleigh,,,,,,,,
27,JT,jt,,,,,,,,,,
28,Tugswell,Dowling,Helvellyn,WELLINGTON,,,,,,,,
29,Henan,IRELAND,Flanders,Westmorland,Poland,England,ENGLAND,,,,,
30,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",Leeds,Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill,"Deep
Valley"
31,Rebecca,Becky,Warwick,,,,,,,,,
32,Hamlet,butte,Teletext,Gazette,Angeles,,,,,,,
33,Derbyshire,aires,Lancashire,"Derby-
shire",York,Yorkshire,,,,,,
34,Wakefield,Esq,Drakes,,,,,,,,,
35,Cologne,Foxglove,KNOW-,Louisa,Lodge,Loxpow,,,,,,
36,Findens,"kindness,—regiment j'ai",me!—and,in'a,kind'and,,,,,,,
37,MARGATE,St. Mary’s,St. Mary's,,,,,,,,,
38,Russia,Ma’moselle,Brussels,,,,,,,,,
39,Burbage,Canterbury,Nurse,Babur,,,,,,,,
40,Kuzzicnasit,Domenichino,china,,,,,,,,,
