cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Huxley,Turkey,Hamlet,Howley,Huxley-lane,,,,,,,
1,Derbyshire,shifting*stream,Lancashire,"Derby-
shire",Madeira,Yorkshire,,,,,,
2,Drakes,aires,Cretan,Esq,premises,"kindness,—regiment j'ai",,,,,,
3,inn,in'a,Turpin,joaquin,china,the Holy Virgin,,,,,,
4,Helvellyn,Wakefield,Ma’moselle,WELLINGTON,Tugswell,,,,,,,
5,Bering,refusing.a,Singular,Rheingau,Kidderminster,Bering’s,,,,,,
6,Highland,Aghleigh,Highlandloch,,,,,,,,,
7,Findens,"nonsense,—ideas",Nurse,seaworld,seif,observe=,,,,,,
8,"Deep Valley
Mill",the Deep Valley,THE DEEP VALLEY,the Deep Valley «,Deep Valley,Deep-Valley,Deep Valley Mill,Leeds,"Deep
Valley","Deep Valley

su",the Deep Valley Mill,VALLEY
9,protégée,Brotherton,North,Crompton,earth,the ivory brow,Earth,the Emerald Isle,Southern Reg,,,
10,Fraser,GRANBY,france,Hicnranpens,France,Fimrantox,Germany,Anuincrox,Tn,,,
11,butte,Teletext,Gazette,Charlotte,MARGATE,,,,,,,
12,Russia,Brussels,Kuzzicnasit,,,,,,,,,
13,KNOW-,Louisa,Cologne,Loxpow,Foxglove,Lodge,,,,,,
14,M.D.,DUBLIN,Dublin,,,,,,,,,
15,Bastille,most.le-,East,ST,Straits,westport,Boston,Austria,,,,
16,orient,Prentice,Arctic,Providence,Nice,WARREN,,,,,,
17,JT,jt,,,,,,,,,,
18,California,palo,al,cali,Italy,Halifax,Royal,MR,,,,
19,Canterbury,Burbage,Babur,,,,,,,,,
20,Scotch,moscow,Scotland,SCOTLAND,,,,,,,,
21,quad-,"by,—I","lady,—I","you,—I",,,,,,,,
22,Dowling,Kingdom,Domenichino,the Kingdom,Booming,,,,,,,
23,ain’t,may’t,n’t,Tisn’t,,,,,,,,
24,& K.C.,Tilbury Fort,Mill,York,Milford Park,fort,Oxford,Milford,Rockford,Bradford,,
25,Samaritan,H. SMITH,PLAIN STATEMENT,Britain,Great Britain,,,,,,,
26,Venus,XXII,BENEVOLENCE,Devenevx,never.should,denver,,,,,,
27,Africa,America,Mexico,AMERICA,BRAMBLETYE Scope Series,Tis Africa,,,,,,
28,Sophy,Europe,Roma,,,,,,,,,
29,St. Mary's,St. Mary’s,,,,,,,,,,
30,maine,Paris,park-palin,Spain,Manupa,spain,,,,,,
31,London Madeira,sont,Golconda,LONDON,London,Saxony,,,,,,
32,woodbine,Woodcock,what~,hardwood,,,,,,,,
33,England,me!—and,Westmorland,Henan,Angeles,kind'and,LAYS,Flanders,Poland,IRELAND,ENGLAND,La
34,Rebecca,Blackberry,Warwick,Becky,,,,,,,,
35,Brockley,morocco,Crockley,,,,,,,,,
