cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65
-1,orient,GRANBY,& K.C.,Drakes,Bastille,Blackberry,aires,Venus,quad-,Findens,Westmorland,most.le-,"nonsense,—ideas",Henan,Nurse,protégée,Louisa,Wakefield,Angeles,Canterbury,shifting*stream,palo,Paris,M.D.,Mill,Cologne,Hicnranpens,moscow,H. SMITH,Cretan,Deep Valley Mill,park-palin,morocco,Fimrantox,Rheingau,Leeds,may’t,Esq,seaworld,westport,Golconda,Kuzzicnasit,PLAIN STATEMENT,Italy,Ma’moselle,the ivory brow,premises,Lodge,Boston,denver,Europe,BRAMBLETYE Scope Series,Kidderminster,Aghleigh,what~,"kindness,—regiment j'ai",MR,seif,Howley,the Emerald Isle,Booming,the Deep Valley Mill,Saxony,MARGATE,Tn,the Holy Virgin
0,Africa,Tis Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,America,AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,maine,ain’t,n’t,Tisn’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,inn,in'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Turpin,Turkey,Anuincrox,joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,woodbine,Woodcock,hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,me!—and,kind'and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Flanders,Poland,IRELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,England,ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
