cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Bering’s,Bering,Foxglove,Louisa,Blackberry,,,,,,,
1,france,Venus,France,in'a,,,,,,,,
2,Roma,Germany,quad-,,,,,,,,,
3,Derbyshire,aires,Lancashire,WARREN,al,Kidderminster,"Derby-
shire",Yorkshire,,,,
4,orient,Prentice,Turkey,seif,,,,,,,,
5,Burbage,joaquin,Canterbury,Babur,,,,,,,,
6,Great Britain,Britain,Sophy,Italy,Samaritan,,,,,,,
7,Spain,maine,spain,,,,,,,,,
8,n’t,Tisn’t,ain’t,Arctic,Warwick,,,,,,,
9,Tugswell,Ma’moselle,Helvellyn,WELLINGTON,,,,,,,,
10,Madeira,Cologne,Angeles,,,,,,,,,
11,Milford Park,Mill,Milford,Oxford,Bradford,Paris,,,,,,
12,sont,what~,LAYS,inn,,,,,,,,
13,Boston,Crompton,Brotherton,Anuincrox,XXII,protégée,,,,,,
14,Highlandloch,MR,Highland,Aghleigh,Saxony,,,,,,,
15,East,Lodge,,,,,,,,,,
16,London Madeira,LONDON,London,Europe,Golconda,Loxpow,,,,,,
17,Kuzzicnasit,Crockley,Brockley,Rockford,morocco,,,,,,,
18,"you,—I","lady,—I","by,—I","nonsense,—ideas",,,,,,,,
19,North,Earth,Esq,earth,,,,,,,,
20,premises,Dowling,Dublin,park-palin,may’t,Leeds,DUBLIN,,,,,
21,H. SMITH,Wakefield,Royal,JT,,,,,,,,
22,Manupa,ST,KNOW-,Fraser,observe=,BRAMBLETYE Scope Series,Brussels,,,,,
23,woodbine,Cretan,hardwood,Woodcock,,,,,,,,
24,Huxley-lane,Huxley,Howley,,,,,,,,,
25,the ivory brow,Southern Reg,the Holy Virgin,the Kingdom,the Emerald Isle,,,,,,,
26,never.should,BENEVOLENCE,Devenevx,Nice,,,,,,,,
27,moscow,Scotch,Scotland,SCOTLAND,Nurse,,,,,,,
28,fort,Tilbury Fort,westport,,,,,,,,,
29,PLAIN STATEMENT,"kindness,—regiment j'ai",Domenichino,kind'and,,,,,,,,
30,Fimrantox,jt,Hicnranpens,GRANBY,,,,,,,,
31,palo,,,,,,,,,,,
32,IRELAND,Flanders,Westmorland,me!—and,York,Poland,England,ENGLAND,,,,
33,Henan,Africa,Turpin,America,AMERICA,Tis Africa,,,,,,
34,Rebecca,cali,California,Halifax,,,,,,,,
35,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,Bastille,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill,"Deep
Valley"
36,& K.C.,Becky,,,,,,,,,,
37,Russia,Hamlet,Teletext,,,,,,,,,
38,butte,La,Gazette,Charlotte,,,,,,,,
39,Providence,Findens,seaworld,denver,Mexico,china,,,,,,
40,MARGATE,most.le-,Drakes,St. Mary’s,St. Mary's,Tn,,,,,,
41,Kingdom,shifting*stream,Booming,Singular,refusing.a,Rheingau,,,,,,
42,Austria,M.D.,Straits,,,,,,,,,
