cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0.0,Bering’s,Bering,Blackberry,,,,,,,,
1.0,Russia,Brussels,,,,,,,,,
2.0,Madeira,London Madeira,LONDON,London,Golconda,,,,,,
3.0,moscow,Ma’moselle,most.le-,,,,,,,,
4.0,Great Britain,Britain,,,,,,,,,
5.0,Burbage,Canterbury,Babur,,,,,,,,
6.0,Spain,spain,,,,,,,,,
7.0,n’t,Tisn’t,ain’t,,,,,,,,
8.0,Tugswell,Helvellyn,WELLINGTON,,,,,,,,
9.0,premises,orient,Prentice,Nice,Arctic,,,,,,
10.0,Manupa,Germany,Kidderminster,,,,,,,,
11.0,Turpin,Turkey,,,,,,,,,
12.0,WARREN,Warwick,,,,,,,,,
13.0,Roma,Boston,Crompton,,,,,,,,
14.0,butte,Gazette,Charlotte,,,,,,,,
15.0,Highlandloch,Highland,Aghleigh,,,,,,,,
16.0,maine,woodbine,hardwood,Woodcock,,,,,,,
17.0,shifting*stream,Austria,Straits,,,,,,,,
18.0,"you,—I","lady,—I","by,—I",,,,,,,,
19.0,Westmorland,seaworld,westport,morocco,,,,,,,
20.0,Rebecca,Becky,,,,,,,,,
21.0,Dublin,DUBLIN,,,,,,,,,
22.0,Crockley,Brockley,,,,,,,,,
23.0,East,Mill,Bastille,,,,,,,,
24.0,Fraser,observe=,BRAMBLETYE Scope Series,,,,,,,,
25.0,Huxley-lane,Huxley,Howley,,,,,,,,
26.0,the ivory brow,the Holy Virgin,the Emerald Isle,,,,,,,,
27.0,never.should,BENEVOLENCE,Devenevx,Venus,,,,,,,
28.0,North,fort,Tilbury Fort,,,,,,,,
29.0,Southern Reg,Brotherton,protégée,,,,,,,,
30.0,PLAIN STATEMENT,"kindness,—regiment j'ai",kind'and,,,,,,,,
31.0,Anuincrox,joaquin,,,,,,,,,
32.0,America,AMERICA,,,,,,,,,
33.0,park-palin,palo,Paris,,,,,,,,
34.0,cali,California,Halifax,,,,,,,,
35.0,Kingdom,the Kingdom,,,,,,,,,
36.0,IRELAND,Flanders,me!—and,Poland,England,ENGLAND,,,,,
37.0,Domenichino,china,,,,,,,,,
38.0,Africa,Tis Africa,,,,,,,,,
39.0,Milford Park,Rockford,Milford,Oxford,Bradford,,,,,,
40.0,france,France,,,,,,,,,
41.0,Scotch,Scotland,SCOTLAND,,,,,,,,
42.0,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill,"Deep
Valley"
43.0,Italy,MARGATE,Cretan,Europe,Samaritan,,,,,,
44.0,Hamlet,Teletext,Angeles,,,,,,,,
45.0,Derbyshire,aires,Lancashire,"Derby-
shire",York,Yorkshire,,,,,
46.0,Wakefield,Drakes,,,,,,,,,
47.0,Earth,earth,,,,,,,,,
48.0,St. Mary’s,St. Mary's,,,,,,,,,
49.0,Providence,Findens,denver,,,,,,,,
50.0,Kuzzicnasit,Fimrantox,"nonsense,—ideas",Hicnranpens,GRANBY,,,,,,
51.0,Booming,Dowling,Singular,refusing.a,Rheingau,,,,,,
