cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Russia,Embassy,Prussia,us,,,,,,,
1,Shabbyton,the Borough of Shabbyton,"the
       Borough",,,,,,,,
2,Lancashire,Berkshire,Ladyship,Yorkshire,,,,,,,
3,Wesleyans,Knowsley,,,,,,,,,
4,Bacchantes,Canterbury,Antwerp,Astrachan,,,,,,,
5,Arlington Street,Downing Street,Brook Street,Berlin,,,,,,,
6,Taper,Seltzer,Opera,Penelope,Europe,Brazils,,,,,
7,woodland,Belgium,Westmoreland,midland,Ireland,Scotland,the Holy Land,Languedoc,England,Roxalana,Monkey Island
8,Hall,Italy,Whitehall,white bait,Whites,,,,,,
9,Cambridge,britska,Madrid,,,,,,,,
10,Barcelona,London,Anon,Constitution Hill,Richmond,Babylon,Condottieri,Clarendon,Arragon,Lisbon,
11,Esq,esq,Sèvres,,,,,,,,
12,Macedon,Wimbledon,Blenheim,Sedgwick,Toledo,,,,,,
13,Cairo,Brocas,Brocas with Vere,Pembroke,,,,,,,
14,Panama,the Isthmus of Panama,Isthmus,,,,,,,,
15,"the
       Establishment",Egypt,Frenchmen,Providence,Frenchwomen,,,,,,
16,Mahomet,Rome,Froissart,Metropolis,Mexico,,,,,,
17,"St.
       Petersburg",St. Petersburgh,Augsburg,St. Petersburg,Edinburgh,,,,,,
18,Lucretia,Jeremiads,Jerusalem,Jemmy,Sovereigns,,,,,,
19,Notwithstanding,Hindostan,Oriel,Standfield,,,,,,,
20,Heroes,Duchess,Manchester,Westminster,Mediterranean,,,,,,
21,the Venetian Republic,the Republic of Paris,"the
       Republic of Paris",,,,,,,,
22,Ermengarde,Melton,Hansard,Carlton Gardens,Cardiff,,,,,,
23,Monmouth,South,Youth,,,,,,,,
24,Tamworth,North,the Northern Sea,Frankfort,Northamptonshire,,,,,,
25,the green mountains,Austria,Greece,the green district,,,,,,,
26,Kingdom,King,France,Vengeance,The Kingdom of France,the Kingdom of France,,,,,
27,Nilotic Africa,Althorp,Realm,Baltic,Aquatics,,,,,,
28,Granada,The Prince Colonna,De Lolme,Torquamada,Madame Colonna,Vienna,,,,,
29,Ferdinand,inn,China,Spain,Sinai,,,,,,
30,Estates,Athens,Thebes,the United Provinces,the United States,"the United
       Kingdom",,,,,
31,Rigbys,Rigbyites,Rigby,,,,,,,,
32,Lima,Infirmary,Inferno,Marquess,,,,,,,
33,Naples,Naples Sidonia,Temple,,,,,,,,
34,Burnet,Melbourne,Luxembourg,Barnes,,,,,,,
35,Cadiz,Piccadilly,Lucca,,,,,,,,
36,Studcaster,East,Castle,Caucasus,Newcastle,,,,,,
37,Peninsula,Windsor,Uwins,,,,,,,,
38,Hyde Park Place,Earwig,Sparta,Pagan,Kildare,Park,the Upper Park,Paris,,,
39,Liverpool,Watteau,Waterloo,,,,,,,,
40,Christchurch,Lyndhurst,Archbishop,,,,,,,,
41,Hellingsley,Coningsby,Wellington,Hellingsby,,,,,,,
42,Colleges,Nile,Hilloa,Willesden,dishabille,Seville,Mlle,valley,,,
43,Alps,Paradise,Israel,Arabia,MR,Valparaiso,,,,,
44,Sydney,St. Geneviève,Geneva,,,,,,,,
45,Jamaica,St. Leger,St. James's,St. James',St. James,Nemesis,St. John,St. Mary's,,,
46,Milan,Albany,Millbank,,,,,,,,
47,Monsieur,Sidonia,Monsieur Sidonia's,Sidonias,Medina Sidonia,Monsieur Sidonia,,,,,
48,Nuneham,Durham,Tamerlane,Thames,Palmerston,Amersham,,,,,
49,Darlford,Bradford,Forum,Oxford,,,,,,,
50,Venice,the San Benito,Phoenix,Tokay,San Benito,,,,,,
51,Lazaroni,the Rue Tronchet,the County of,the County Chronicle,,,,,,,
52,Potts,Everingham,Spinoza,Birmingham,Nottingham,,,,,,
53,Saxon,Saxony,,,,,,,,,
