cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Berkshire,Lancashire,Alps,Spain,Yorkshire,Ladyship,,
1,Cardiff,Ermengarde,Sedgwick,Hansard,Israel,Carlton Gardens,,
2,Downing Street,Brook Street,Arlington Street,Italy,Austria,,,
3,Mlle,Colleges,valley,,,,,
4,"the
       Borough",the Rue Tronchet,Thebes,the Borough of Shabbyton,Athens,"the
       Establishment",the San Benito,esq
5,Embassy,Pembroke,Seltzer,Luxembourg,Egypt,,,
6,Tamworth,North,the Northern Sea,Froissart,Northamptonshire,Earwig,,
7,Brocas,East,Newcastle,Castle,Studcaster,Astrachan,Caucasus,
8,Jerusalem,Prussia,Russia,,,,,
9,Condottieri,Richmond,Potts,London,,,,
10,Naples,Temple,,,,,,
11,Babylon,Barcelona,Lyndhurst,Saxony,,,,
12,Brazils,Cairo,Belgium,,,,,
13,Tamerlane,Milan,Languedoc,Roxalana,,,,
14,Waterloo,Berlin,Mediterranean,Estates,,,,
15,Forum,Oxford,Spinoza,Bradford,Darlford,,,
16,Opera,Europe,Penelope,Taper,,,,
17,Christchurch,Isthmus,,,,,,
18,Hellingsby,Coningsby,Hellingsley,Heroes,Wellington,,,
19,Realm,the green mountains,Greece,the green district,the County Chronicle,Uwins,the County of,
20,Sinai,Pagan,Ferdinand,China,,,,
21,Madame Colonna,The Prince Colonna,Vienna,,,,,
22,Baltic,Arragon,Aquatics,Nilotic Africa,,,,
23,Park,Hyde Park Place,the Upper Park,,,,,
24,Madrid,Granada,Torquamada,Jamaica,Panama,,,
25,San Benito,Phoenix,Venice,Peninsula,,,,
26,inn,Frenchwomen,Providence,Frenchmen,Windsor,,,
27,Anon,MR,Tokay,,,,,
28,Geneva,Esq,St. Petersburgh,St. Petersburg,Edinburgh,Augsburg,"St.
       Petersburg",
29,Bacchantes,Antwerp,Canterbury,,,,,
30,Willesden,Shabbyton,dishabille,Seville,Archbishop,,,
31,the United Provinces,Blenheim,"the United
       Kingdom",the United States,Lucretia,,,
32,Monmouth,Althorp,Saxon,Watteau,Youth,South,,
33,Inferno,Kildare,,,,,,
34,Scotland,Ireland,Westmoreland,England,woodland,Monkey Island,midland,the Holy Land
35,Jeremiads,Liverpool,Sovereigns,Brocas with Vere,,,,
36,Knowsley,Wesleyans,Monsieur,,,,,
37,Oriel,Standfield,Notwithstanding,Hindostan,,,,
38,the Isthmus of Panama,Paris,"the
       Republic of Paris",the Republic of Paris,the Venetian Republic,,,
39,Marquess,Infirmary,De Lolme,,,,,
40,Duchess,Westminster,us,Manchester,,,,
41,Vengeance,Kingdom,King,Albany,the Kingdom of France,Frankfort,France,The Kingdom of France
42,Arabia,Sydney,Paradise,Sparta,Valparaiso,,,
43,Mexico,Mahomet,Rome,,,,,
44,Jemmy,Millbank,Constitution Hill,Cadiz,Piccadilly,Hilloa,,
45,Nuneham,Nottingham,Durham,Birmingham,Everingham,,,
46,Melton,Amersham,Palmerston,,,,,
47,Macedon,Clarendon,Toledo,Nile,Wimbledon,,,
48,Rigbyites,Rigbys,Rigby,,,,,
49,Burnet,Melbourne,Barnes,Lima,,,,
50,britska,St. James's,Nemesis,St. James',St. James,Thames,,
51,St. John,Lucca,St. Mary's,St. Geneviève,St. Leger,,,
52,Cambridge,Lisbon,Metropolis,,,,,
53,Monsieur Sidonia,Naples Sidonia,Lazaroni,Sèvres,Monsieur Sidonia's,Medina Sidonia,Sidonias,Sidonia
54,white bait,Hall,Whites,Whitehall,,,,
