cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39
-1,inn,Nemesis,Inferno,Anon,Sedgwick,the Rue Tronchet,Realm,Naples,Milan,Providence,Temple,Lazaroni,Languedoc,Berlin,Torquamada,Marquess,Mediterranean,Arabia,MR,Arragon,Sydney,"the
       Establishment",Antwerp,Roxalana,dishabille,Kildare,Monkey Island,Sovereigns,Paris,Richmond,Tokay,Ferdinand,Infirmary,Estates,Ladyship,Palmerston,Potts,Egypt,Lima,the Holy Land
0,Saxon,Saxony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Earwig,De Lolme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Esq,Sèvres,esq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Christchurch,Lyndhurst,Archbishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Waterloo,Watteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mexico,Pagan,Italy,Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Prussia,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lisbon,Metropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mahomet,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Frenchwomen,Frenchmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Belgium,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,britska,Cambridge,Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jerusalem,Jeremiads,Jemmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Melton,Seltzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cardiff,Ermengarde,Hansard,Carlton Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jamaica,Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nottingham,Birmingham,Everingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Althorp,Baltic,Aquatics,Nile,Nilotic Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Embassy,Pembroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Burnet,Luxembourg,Melbourne,Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Naples Sidonia,Medina Sidonia,Sidonias,Sidonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Monsieur Sidonia,Monsieur Sidonia's,Monsieur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,us,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Opera,Europe,Penelope,Taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,St. Petersburgh,St. Petersburg,"St.
       Petersburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Edinburgh,Augsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Monmouth,Youth,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Constitution Hill,Hilloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Knowsley,Wesleyans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"the
       Borough",Shabbyton,the Borough of Shabbyton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cadiz,Piccadilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Oriel,Standfield,Notwithstanding,Hindostan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Hellingsby,Coningsby,Hellingsley,Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Downing Street,Brook Street,Arlington Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nuneham,Tamerlane,Durham,Amersham,Thames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,white bait,Hall,Whites,Whitehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Rigbyites,Rigbys,Rigby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,San Benito,the San Benito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,the County Chronicle,the County of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,the green mountains,Greece,the green district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Geneva,St. Geneviève,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Clarendon,Condottieri,Babylon,Barcelona,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Froissart,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mlle,Willesden,Colleges,valley,Seville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Macedon,Granada,Toledo,Blenheim,Wimbledon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,St. James's,St. John,St. James',St. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,St. Mary's,St. Leger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Forum,Brazils,Oxford,Bradford,Darlford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Brocas,Brocas with Vere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Madame Colonna,The Prince Colonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sinai,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Heroes,Spinoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lucca,Caucasus,Lucretia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Phoenix,Venice,Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Uwins,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Alps,Paradise,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Vengeance,Frankfort,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,the Kingdom of France,The Kingdom of France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Isthmus,the Isthmus of Panama,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"the
       Republic of Paris",the Republic of Paris,the Venetian Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Kingdom,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,the United Provinces,"the United
       Kingdom",the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bacchantes,Canterbury,Astrachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Berkshire,Lancashire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Duchess,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Park,Hyde Park Place,the Upper Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Spain,Sparta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Tamworth,North,the Northern Sea,Northamptonshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Thebes,Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,East,Westminster,Newcastle,Castle,Studcaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Albany,Millbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Ireland,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Scotland,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,woodland,midland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
