cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,britska,Cambridge,Madrid,,,,,,
1.0,Geneva,St. Geneviève,,,,,,,
2.0,St. James's,St. John,Nemesis,St. James',St. James,,,,
3.0,Melton,Seltzer,,,,,,,
4.0,Downing Street,Brook Street,Arlington Street,,,,,,
5.0,Bacchantes,Hansard,Canterbury,Astrachan,,,,,
6.0,Jerusalem,Jeremiads,,,,,,,
7.0,Embassy,Pembroke,,,,,,,
8.0,Clarendon,Kildare,London,,,,,,
9.0,Frenchwomen,Frenchmen,,,,,,,
10.0,East,Newcastle,Castle,Studcaster,Caucasus,,,,
11.0,Prussia,Russia,,,,,,,
12.0,Naples Sidonia,Naples,Temple,Medina Sidonia,Sidonias,Sidonia,,,
13.0,Inferno,the Rue Tronchet,Tamworth,North,the Northern Sea,Thebes,Athens,"the
       Establishment",Heroes
14.0,Scotland,Ireland,Westmoreland,England,woodland,Monkey Island,midland,the Holy Land,
15.0,Waterloo,Berlin,Watteau,,,,,,
16.0,Opera,Europe,Penelope,Taper,,,,,
17.0,Hellingsby,Coningsby,Hellingsley,Wellington,,,,,
18.0,Sinai,Ferdinand,China,,,,,,
19.0,"the
       Borough",Shabbyton,the Borough of Shabbyton,,,,,,
20.0,Madame Colonna,Torquamada,The Prince Colonna,Vienna,,,,,
21.0,Althorp,Baltic,Aquatics,,,,,,
22.0,Park,Hyde Park Place,the Upper Park,,,,,,
23.0,Knowsley,valley,Wesleyans,,,,,,
24.0,Mediterranean,Arragon,,,,,,,
25.0,Isthmus,the Isthmus of Panama,Panama,,,,,,
26.0,Phoenix,Venice,Peninsula,,,,,,
27.0,St. Petersburgh,St. Petersburg,Edinburgh,Augsburg,"St.
       Petersburg",,,,
28.0,Christchurch,the green mountains,Greece,the green district,Austria,,,,
29.0,Babylon,Barcelona,Barnes,Archbishop,,,,,
30.0,Liverpool,Antwerp,,,,,,,
31.0,Granada,Tamerlane,Milan,Languedoc,Roxalana,,,,
32.0,Berkshire,Lancashire,Northamptonshire,Yorkshire,Ladyship,,,,
33.0,Lazaroni,the County Chronicle,the County of,,,,,,
34.0,Condottieri,Nottingham,Birmingham,Potts,Everingham,,,,
35.0,Nuneham,Durham,Thames,,,,,,
36.0,the United Provinces,"the United
       Kingdom",the United States,Estates,,,,,
37.0,Albany,Millbank,Lucretia,,,,,,
38.0,Oriel,Standfield,Notwithstanding,Hindostan,,,,,
39.0,San Benito,the San Benito,,,,,,,
40.0,Paris,"the
       Republic of Paris",the Republic of Paris,the Venetian Republic,,,,,
41.0,Brocas,Sovereigns,Brocas with Vere,,,,,,
42.0,Vengeance,Providence,Frankfort,France,,,,,
43.0,Monsieur Sidonia,Monsieur Sidonia's,Monsieur,,,,,,
44.0,Mlle,Willesden,Colleges,dishabille,Saxon,Seville,,,
45.0,Duchess,Westminster,Manchester,,,,,,
46.0,Froissart,Spain,Sparta,,,,,,
47.0,Kingdom,King,the Kingdom of France,The Kingdom of France,,,,,
48.0,Alps,Arabia,Paradise,Valparaiso,,,,,
49.0,Burnet,Luxembourg,Melbourne,,,,,,
50.0,Esq,esq,,,,,,,
51.0,Mahomet,Rome,,,,,,,
52.0,Lucca,Cadiz,Piccadilly,,,,,,
53.0,Realm,Amersham,Palmerston,De Lolme,Lyndhurst,,,,
54.0,Macedon,Toledo,Blenheim,Wimbledon,,,,,
55.0,Marquess,Infirmary,St. Mary's,St. Leger,,,,,
56.0,Rigbyites,Rigbys,Rigby,,,,,,
57.0,Jamaica,Richmond,Nile,Nilotic Africa,,,,,
58.0,Cardiff,Ermengarde,Carlton Gardens,,,,,,
59.0,Uwins,Windsor,Saxony,,,,,,
60.0,Forum,Brazils,Oxford,Bradford,Darlford,,,,
61.0,Monmouth,Youth,South,,,,,,
62.0,Lisbon,Metropolis,,,,,,,
63.0,white bait,Hall,Whites,Whitehall,,,,,
64.0,Constitution Hill,Hilloa,,,,,,,
