cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Africa,may’t,Ricketts,America,Jamaica,,,,,,,,,
1,Miss,kiss,&.—Miss,Miss.,,,,,,,,,,
2,Metternich,Munich,Gazette,Rotterdam,Debrett,,,,,,,,,
3,Cambridge,Camberwell,Sambo,,,,,,,,,,,
4,inn,Grays Inn,Major,Inn,Inn of mornings,,,,,,,,,
5,Corydon,cordova,Don Juan,Curzon,Cork,Rawdon,Wimbledon,,,,,,,
6,Brazil,Brava,Bramah,Labrador,Bragg,,,,,,,,,
7,Easter,East,Music,Red Seas,S. Hieas,,,,,,,,,
8,Pompeii,Omphale,Leipzig,pomatum,Pompadour,,,,,,,,,
9,Grosvenor,Rosa,la,Venice,Venus,,,,,,,,,
10,france,France,Fairs,Lance,,,,,,,,,,
11,Portsmouth,Oporto,fort,Port,Sports,Portansherry,,,,,,,,
12,"Emmy’s,—their",Esq,Athens,Rio Janeiro,Madeira,,,,,,,,,
13,St. George’s,Georgina,"St.
George’s",St. George’s Hospital,,,,,,,,,,
14,Billingsgate,Harrogate,Ramsgate,Elba,emirates,Margate,States,,,,,,,
15,Club,belgium,Belgium,know-,Belgravia,,,,,,,,,
16,Colonies,Colony,Polonia,beaux,Oxonians,M.D.,,,,,,,,
17,Eagles,Stubbles,palestine,twenty eagles,Middlesex,,,,,,,,,
18,Buxton,Alton,Stilton,Dayton,mouton,Grafton,,,,,,,,
19,Charing,Bingo,Kingdom,Ringwood,Abingdon,Ealing,Peggy,existingée,knowingest,planning;—no,,,,
20,Orleans,A2,Egalité Orleans,dans la,New Orleans,,,,,,,,,
21,LA,Fitzroy,Troy,Horowitz,Toeplitz,,,,,,,,,
22,Oxford,Bedford,Brentford,Sandford,Bordeaux,,,,,,,,,
23,villa,Ill,Denmark Hill,Piccadilly,Cornhill,Squills,Muswell Hill,,,,,,,
24,Sugar,Kangaroo,Trafalgar,Bulgaria,,,,,,,,,,
25,Dresden,Provence,Providence,Florence,protégée,Hobbs,,,,,,,,
26,Helvellyn,Nivelle,Machiavellian,Asvel,,,,,,,,,,
27,denham,Blenheim,Denham,Cheltenham,,,,,,,,,,
28,Chaffers,chad,Champaign,Bowls,Chapels,,,,,,,,,
29,Loyola,Molasses,,,,,,,,,,,,
30,BRIGHTON,Knightsbridge,Brighton,Moscow,,,,,,,,,,
31,Tape,Cape,Capri,Cape Town,CAPE,,,,,,,,,
32,Ireland,the Peerage of Ireland,Except Ireland,,,,,,,,,,,
33,Lausanne,Cannes,Canada,Caen,,,,,,,,,,
34,Touchdowns,Touchdown,Bagshot,O’Dowd,the Earl of Touchdown,Tours,,,,,,,,
35,Leicester,Winchester,INCLUSION,Rochester,,,,,,,,,,
36,Jobs,Whitefriars,White Hermitage,Munoz,P.S.,white great~,,,,,,,,
37,Desert,Wineries,ZZ,Diesen,Sediey,,,,,,,,,
38,polynesia,Asia,Persia,ambrosia,,,,,,,,,,
39,Talleyrand,Hall,Ballinasloe,Mall,Noir,,,,,,,,,
40,bastille,"Stillbrook, Becky",Stillbrook,Becky,,,,,,,,,,
41,Maria,Marengo,Mariposa,Janissaries,Mars,,,,,,,,,
42,the Latin Grammar,Bagram,Turkey,Geography,UK,Gravesend,Spoon,,,,,,,
43,Hornby,Hornsey,Horn,Holborn,Insee,,,,,,,,,
44,England,Bengal,Anglais,Old England,,,,,,,,,,
45,St. Kitt’s,St. Helena,St. Actual,St. Pancras,St. Vincent’s,St.,St. Paul’s,the St. Leger,Notgeung,Meejor,"St.
Paul’s",St. Just,St. Kitts,St. Mary’s
46,Regent,Regulus,Regan,,,,,,,,,,,
47,Sultan,Peninsula,Nineveh,Iphigenia,Surrey,,,,,,,,,
48,Rawdon Crawley,CRAWLEY,Crawley,CrAwley,,,,,,,,,,
49,Mango,Salamanca,Angouléme,Germany,oman,,,,,,,,,
50,Spain,Mount Saint John,Saint Jean,Saint Martin’s Lane,Saint Helena,Maintenon,Saint Kitts,Saint Jams,,,,,,
51,Frenchmen,Trench,"the French Chargé d’ Affaires, M de Macau",Bicétre,,,,,,,,,,
52,Silenus,Tiles,Nile,Vienna,,,,,,,,,,
53,Babylon,Maloney,&.,Boney,Glenmalony,Louis,,,,,,,,
54,"dong la
roo",Long Acre,Jong,Long Island,Longwood,,,,,,,,,
55,Porky,York,New York,,,,,,,,,,,
56,Montmorency,belmont,Montmirail,Nob,,,,,,,,,,
57,Siberia,Rector,Vittoria,Gloria,,,,,,,,,,
58,Holland,Boggleywollah,Medulla,Bogglywollah,be—.”—He,,,,,,,,,
59,the West End,"West End Hotels,—nevertheless",West End,,,,,,,,,,,
60,Sands,"mind,.and",Windsor,minibus,Andes,Minden,,,,,,,,
61,St. James’s Street,Gaunt Street,Hart Street,Curzon Street,Greek Street,Threadneedle Street,,,,,,,,
62,"ha,—there",Bierstadt,Oystherstown,Booterstown,Japan,,,,,,,,,
63,Great Gaunt,Great Britain,Great Gaunt-,Great Gaunt Street,,,,,,,,,,
64,Monseigneur,Monsieur Isidor,Monsieur,sidon,Isidor,,,,,,,,,
65,yakima,Jemima,harriman,,,,,,,,,,,
66,Wittgenstein,Wayne,Steyne,Ste,Ostend,,,,,,,,,
67,Christchurch,Moorish,Parisot,¢ris¢e,Paris,,,,,,,,,
68,PP,atlanta,Hants,the Atlantic Ocean,,,,,,,,,,
69,swan,Swamp Town,Swamptown,"Swamp Town
Gazette",R.A.,,,,,,,,,
70,Madame Barbecue,Armada,,,,,,,,,,,,
71,Feltham,Chatham,Messrs,Thames,Thames St.,CHATHAM,,,,,,,,
72,"night,—and",Mrs,girl””—and,"care,—and",quarters.—And,,,,,,,,,
73,St. John’s,"Mount
St. John","St. John’s
Wood",,,,,,,,,,,
74,china,chino,China,fl,Kunz,Maraschino,,,,,,,,
75,Versailles,Spiggot,Gillespie,Achilles,,,,,,,,,,
76,Udolpho,La,,,,,,,,,,,,
77,Rebeco,Rebecca,Quebec,,,,,,,,,,,
