cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,LA,palau,Loyola,Black Bess,Medulla,Ladyship,La,Lady,la,Molasses,playa,,,,,,,
1,Miss,kiss,&.—Miss,Miss.,,,,,,,,,,,,,,
2,Rebeco,Rector,Rebecca,be—.”—He,Becky,Quebec,Debrett,,,,,,,,,,,
3,inn,inn-land-,Spain,Nineveh,Grays Inn,Binkie,Inn,minibus,Inn of mornings,planning;—no,Insee,,,,,,,
4,Helvellyn,Nivelle,Asvel,Richelieu,guelph,,,,,,,,,,,,,
5,Banbury,Canterbury,Highbury Barn,Crackenbury,Osnaburg,Sudbury,Edinburgh,,,,,,,,,,,
6,Regent,Magnificent,Regulus,Ghent,Regan,Iphigenia,Brentford,,,,,,,,,,,
7,West Indies,the West End,Esq,Wineries,West,"West End Hotels,—nevertheless",West End,West Indian,Cowes,West India,the West Indies,,,,,,,
8,XX,&c.,UK,C.B.,,,,,,,,,,,,,,
9,Flanders,handkerchiefs,Yonder,Bierstadt,Switzerland,Loder,Ramchunder,Derby,quarters.—And,Andes,,,,,,,,
10,St. George’s,Georgina,Geography,"St.
George’s",St. George’s Hospital,,,,,,,,,,,,,
11,Hampshire,HAMPSHIRE,Buckinghamshire,Devonshire,Empire,,,,,,,,,,,,,
12,Orleans,Egalité Orleans,Lederlung,New Orleans,,,,,,,,,,,,,,
13,Billingsgate,villa,Ill,Denmark Hill,"Stillbrook, Becky",Piccadilly,IL,Cornhill,Stillbrook,Squills,Muswell Hill,,,,,,,
14,Grosvenor,Provence,Providence,Venice,protégée,,,,,,,,,,,,,
15,denham,Blenheim,Denham,Cheltenham,,,,,,,,,,,,,,
16,Carmarthenshire,Siberia,Maria,Whitefriars,Mariposa,Mars,Madame Barbecue,Gloria,harriman,Bulgaria,Crib,Armada,,,,,,
17,Pompeii,Temple,Omphale,Hall,Pharaoh,Palermo,Methusalem,,,,,,,,,,,
18,BRIGHTON,"night,—and",Knightsbridge,Brighton,,,,,,,,,,,,,,
19,Tape,Cape,Capri,Japan,Peggy,Cape Town,Puppets,CAPE,Chapels,,,,,,,,,
20,Ireland,Rio Janeiro,girl””—and,"care,—and",the Peerage of Ireland,Except Ireland,Delaware,Scotland,thailand,Shetland,,,,,,,,
21,Versailles,Silenus,Naples,Eagles,bastille,Tiles,Wesleyan,Nile,Stubbles,Leipzig,Gillespie,palestine,Lewes,twenty eagles,Achilles,Middlesex,,
22,Touchdowns,Touchdown,O’Dowd,the Earl of Touchdown,,,,,,,,,,,,,,
23,Cognac,Bois de Boulogne,Bois,Louis XVIII,Bowls,Boulogne,"Bois de
Boulogne",Sambo,Boulevard de,Louis,,,,,,,,
24,Desert,Diesen,Gravesend,Sediey,Vienna,,,,,,,,,,,,,
25,Newfoundland,ND,Bevetendt,Sands,Belinda,"mind,.and",Dundas,Windsor,,,,,,,,,,
26,Wales,swan,WA,Wayne,Conway,,,,,,,,,,,,,
27,cordova,Dover,Sovereigns,Liverpool,Silvery,,,,,,,,,,,,,
28,Holland,England,Anglais,Long Island,Old England,,,,,,,,,,,,,
29,Charing,Kingdom,Ringwood,Longwood,,,,,,,,,,,,,,
30,belgium,Belgium,Belgravia,,,,,,,,,,,,,,,
31,"compliments,—if",Fluvy,Berlin,Flint,Ballinasloe,Ealing,Continent,fl,Dublin,,,,,,,,,
32,Christchurch,Zwieback,Munich,Chiswick,Harwich,zkich,Dulwich,Brunswick,CHISWICK,,,,,,,,,
33,Bingo,Marengo,Kangaroo,Mango,Angouléme,Germany,Demagogue,JT,oman,,,,,,,,,
34,"ha,—there",Chaffers,chad,Feltham,Brougham,Chatham,Hants,Higham,Champaign,Durham,Fulham,CHATHAM,,,,,,
35,Mount Saint John,Saint Jean,Saint Martin’s Lane,Saint Helena,Saint Kitts,Saint Jams,,,,,,,,,,,,
36,Frenchmen,Trench,Florence,"the French Chargé d’ Affaires, M de Macau",Bicétre,Greenwich,Schlippenschloppen,,,,,,,,,,,
37,Maloney,Mall,Alderney,Boney,Glenmalony,Baronet,,,,,,,,,,,,
38,County,Mount,belmont,County Kildare,Mountrail,Mount St.,Kunz,,,,,,,,,,,
39,Hornby,Hornsey,Horn,Horowitz,Soho,Holborn,,,,,,,,,,,,
40,York,Cork,New York,,,,,,,,,,,,,,,
41,Colonies,Cologne,Colony,Polonia,Golconda,Ny,Consul,Silicon,,,,,,,,,,
42,Boggleywollah,Bogglywollah,,,,,,,,,,,,,,,,
43,Keepsake,Turkey,Surrey,,,,,,,,,,,,,,,
44,Gaunt Street,Gaunt,Great Gaunt,beaux,white great~,New Gaunt,Great Britain,Great Gaunt-,Great Gaunt Street,Gaunt-square,R.A.,,,,,,,
45,Monseigneur,Monsieur Isidor,Monsieur,sidon,Isidor,,,,,,,,,,,,,
46,St. Kitt’s,East,St. Helena,St. Actual,St. Pancras,St. Vincent’s,St.,St. Paul’s,the St. Leger,St. Petersburg,"St.
Paul’s",St. Just,St. Kitts,St. Mary’s,,,,
47,Swamp Town,Swamptown,"Swamp Town
Gazette",,,,,,,,,,,,,,,
48,china,chino,Munoz,China,Maintenon,Borodino,Maraschino,Noir,,,,,,,,,,
49,Talleyrand,Rawdon Crawley,CRAWLEY,Crawley,motley,CrAwley,Ripley,,,,,,,,,,,
50,may’t,Bagshot,Bay,Bombay,Bart,the Bay,Biscay,,,,,,,,,,,
51,yakima,Jemima,Ems,,,,,,,,,,,,,,,
52,Corydon,Babylon,Don Juan,"dong la
roo",Long Acre,Curzon,Brandon,Jong,Abingdon,London,LONDON,Rawdon,Spoon,London City,Richmond,london,Londonderry,Wimbledon
53,Grady,Madeira,Madras,the Madras Roads,,,,,,,,,,,,,,
54,St. John’s,"Mount
St. John",n’t,"St. John’s
Wood",,,,,,,,,,,,,,
