cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115
-1,dents.306,L CHTATEAU,Jo-,s0upconne,cetle,M. de Bussy,CIHATRAU DE,A01,echoue,galantin,Ceslt,apparemmenl,clle,ccc:::--148,t0t peut-etre,Reellement,emeraudes,jeler,Eusse,neth,grace,LU CHRATLAU,ellen',montre272  LE CHATEAU D PINON,"Coucy ' Y-eut-
ilun possesseur",Francois I,I9,Lamelh,maniat,selle,Fidoncl,CHATAU,chatelenie,esperance,CHATEUA D PINON,jardin des Hlesperides,tesl,aivu,LE CHATLEAU DE 1INON,Ani-,allee,tradition124,seLE,lavaitpas repetee,- Ilaura,CHATEAU DE PrNo,tillon,- Oih,sujels,M. de Roucy,refuset,Jetais,lieutenanl-criminel,Thurin,lunt,"Bussy
d'Amboise",LL CHAIEAU DE 1INON,IINO,--- Oui,PIo,ducdOr-,Noyon,compagnles,"importel
- Vous etes un grand enfant",le chteau,Desmonte,faireles,Carrousel,vree,tonnelle,moihs,ra-LE CATLAU,fallt,Cedez,Sint-Jean-d'Acre,Emi-.LE CHATIEAU,chateau de Fayel,Mludame.1,P1NON,dailleitrs,Grces,fese,gileltes,beate,Enfer-,trattre.-,Rappelez-vousLE,CHRATEAU,I.E,l06,CHAITEAU,"Cour'
Vous avez done oublie",Sire,LE CnIATEAU D PINOM,Allemagne,laissel,soleil,Persistez,foisl,Rhin,CHIIATSAU D PINON,Chapelainf,sa116,nuyes,Lambertremit,J',CHIATEAU Ds PINOa,Aixin,Cosse,lelaine.128 LE CHATEAU DE PIN0N.,leroi,Maame,Bouvines,qulelle,qiestiohher,vousaitE
0,I,A62,M,D,j-,265s,".,-",E,I',A,t63,h98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Argus,casde,Iarge,argenut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ce324,g328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,- lJe,"169
- La",si110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arrivee,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LHE,bonheui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Laon f,aon,Laon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,dAlbret,Albret,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ohl,Ayohs,Mal-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
