cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
0,IE CHATEAU DE PINON,CHATEAU DE P1NON,C1IAIEAU DE PINON,CHATEAU DE PINON,CHAIEAU DE PINON,deLE CHATEAU DE PINON,I',EE CIIATEAU DE PINON,montre272  LE CHATEAU D PINON,gardeE CIATEAU DE PINON,folatre et gra-LE CHATEAU DE PINON,CHATEAU E PINON,E CHATEAU DE PINON,J',CHATEAU DkR PINON,LL CHATEAU DE PINON,CRATEAU DE PINON,CHATEUA D PINON,LL CHAIEAU DE 1INON,chateau de Fayel,elleLE CHATEAU DE P1NON,circonstan-E CHATEAU DE PINON,CHAIEAU DE IINON,aLIL CHAIEAU DE PINON,CHATEAU DE INON,CIHATRAU DE,lelaine.128 LE CHATEAU DE PIN0N.,CHIATEAU Ds PINOa,CHAIEAU DB PINON,CHATEAU D INON,chteau de Sissone,LE CnIATEAU D PINOM,LE CHATLEAU DE 1INON,CHA'IEAU DE P1NON,CHEATEAU DE PINON,CHIIATSAU D PINON,LB CHATEAU DE PINON,Ls CHATEAU DE PINON,CHATEAU DE PrNo,LL CHATEAU D PINON,hol-LE CHATEAU DE PINON
1,Voil,Voilh,Iln',voila,sil',Voyez,Ild6rt,soilt,voilh,bondissaut coile,- Oih,moiLKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Couy,etpour,Cour,Coural,Accoutumee,El pourquoif,Lanissecourt,Cour7,"decouvre2
- Je",murmura,Cejour,"Cour'
Vous avez done oublie",Hennecourt,A01,couvet,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albret,refuset,LB,dAlbret,alors7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ienriette,terie,riette,lieutenanl-criminel,gie,jattendrai,Hlenriette,HIen-,Moyenbrie,Combien,Henriette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pinon,DII PINON,265s,DL PINON,IINO,PINON,dePinon,Pinon h Anizy,Noyon,Pinonl,cA2A E INoy,PImNo,PINO,I,P1NON,PiNON,Rhin,,,,,,,,,,,,,,,,,,,,,,,,
6,Iarge,argenut,dege,Argus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,la134,Laon,aon,Laon f,la22,"169
- La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Croix-Blantchie,Croix-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lacomtesse,comtessen',c0mtesse,Cosse,raccommoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,oucy,Cucy,RoUcY.,Coucy,A62,Roucy,ducdOr-,Corcy,Coucy ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
