cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,pre,Beaupre,abbaye de Premontre,refuset,Apres,-Prenez,precher,Eneore,Premontre,tomprendre,prelat,delre,,,,,,,,,,,,,,,,,,
1,PINON,DL PINON,Noyon,dePinon,P1NON,PiNON,PImNo,DII PINON,Pinonl,PINO,CHIIATSAU D PINON,Pinon,,,,,,,,,,,,,,,,,,
2,de Versailles,"chateau
de Versailles",Versailles,chateau de Versailles,traferse,,,,,,,,,,,,,,,,,,,,,,,,,
3,leeque,Inconsequence,eveques,expliquerf,equipagcs,philosophiquemenl,Fiesque,,,,,,,,,,,,,,,,,,,,,,,
4,CHATEAU DE INON,LL CHATEAU D PINON,E CHATEAU DE PINON,CIHATRAU DE,CHEATEAU DE PINON,circonstan-E CHATEAU DE PINON,montre272  LE CHATEAU D PINON,IE CHATEAU DE PINON,folatre et gra-LE CHATEAU DE PINON,CHATEAU DE PINON,CHATEUA D PINON,LE CHATLEAU DE 1INON,Ls CHATEAU DE PINON,CHATEAU DE PrNo,le chteau,hol-LE CHATEAU DE PINON,chateau de Fayel,CRATEAU DE PINON,CHATEAU DE P1NON,elleLE CHATEAU DE P1NON,deLE CHATEAU DE PINON,CHATEAU E PINON,gardeE CIATEAU DE PINON,CHATEAU DkR PINON,LE CnIATEAU D PINOM,EE CIIATEAU DE PINON,LL CHATEAU DE PINON,CHIATEAU Ds PINOa,LB CHATEAU DE PINON,lelaine.128 LE CHATEAU DE PIN0N.
5,Mortagne,gne,Allemagne,Pignerol,ne234,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,
6,echoue,chose3,houx,Rouey,aoue,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gardez,gard,deix,Gardez-vous-en bienl,Cedez,,,,,,,,,,,,,,,,,,,,,,,,,
8,galantin,Lanuit,Clany,egal,la(Ga-,I',,,,,,,,,,,,,,,,,,,,,,,,
9,tomber332,"marechal de
Schomberg",Lambertremit,g328,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Louison,Iguison,-Louison,Louis-le-Gros,Oh l Louison,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ouvre,"decouvre2
- Je",vree,fievre,,,,,,,,,,,,,,,,,,,,,,,,,,
12,jeler,colere,sujels,faireles,Enfer-,Rappelez-vousLE,leroi,,,,,,,,,,,,,,,,,,,,,,,
13,fepondre,repondre,po,Flandre,".,-",,,,,,,,,,,,,,,,,,,,,,,,,
14,messieurs?190 r. cA2A E INoy,cA2A E INoy,ckaA E IioN.,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L CHTATEAU,CEATEAU,chateau,CHATEAU,CHATAU,chatelenie,CIIATEAU,CATEAU,Emi-.LE CHATIEAU,beate,CHATEAU D INON,CIHATEAU,CHRATEAU,I.E,CHAITEAU,CIATEAU,IIE GIIATEAU,,,,,,,,,,,,,
16,CHIAITLU,aiti,HI1I0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,moiselle de Roucy,selle de Roucy,M. de Roucy,Mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,
18,roi pres de mademoiselle,Mlademoiselle,Mlade-,Mesdemoiselles,Dubois,foisl,moiselle,Mlademoislle,mademoiselle,,,,,,,,,,,,,,,,,,,,,
19,Heudicourt,"maduame
d'Heudicourt",bonheui,Ieudicourt,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aureu,eux;1,Maures,aulx,au-,"j'aurail'hon-
neur d'escorter",,,,,,,,,,,,,,,,,,,,,,,,
21,Coucy,Cucy,"Coucy ' Y-eut-
ilun possesseur",oucy,Roucy,ducdOr-,Coucy ',RoUcY.,,,,,,,,,,,,,,,,,,,,,,
22,"terre,206  L cHATA p",l06,"terre,206  L cHATA p PINoN.",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jirai,emeraudes,recerai,Cerberes,vengeraiNi,wrai2,,,,,,,,,,,,,,,,,,,,,,,,
24,Accoutumee,etpour,El pourquoif,Cour,Mothe-Houdancourt,Lanissecourt,Coural,Cour7,Couy,"Cour'
Vous avez done oublie",Cejour,Hennecourt,t63,,,,,,,,,,,,,,,,,
25,hOtellerie,Reellement,elle-mee eontre,ellen',selle,belle-fille',LL,allee,seLE,Elleaimait,tonnelle,- Est-elle,ple,elle-mee,a - Elle,qulelle,,,,,,,,,,,,,,
26,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
